position_cat_shift,goals_conceded,shots,shots_on_target,goals_counter,long_balls,passes,touches,crosses,through_balls,corners,att_obox_goal,bookings,position_cat_ls
0.0,-13.0,-25.0,-10.0,-2.0,328.0,-1393.0,-2215.0,75.0,-42.0,-2.0,-4.0,0.0,2.0
0.0,8.0,10.0,-3.0,3.0,-220.0,-2271.0,-2099.0,4.0,8.0,12.0,2.0,3.0,2.0
0.0,7.0,31.0,13.0,-3.0,-173.0,2332.0,2165.0,-9.0,11.0,-22.0,-2.0,-2.0,2.0
-1.0,8.0,-100.0,-34.0,2.0,205.0,-1071.0,-1242.0,-147.0,-1.0,29.0,-1.0,4.0,2.0
0.0,-7.0,38.0,13.0,0.0,5.0,829.0,1132.0,-36.0,-5.0,7.0,-1.0,-10.0,3.0
0.0,0.0,80.0,30.0,3.0,-114.0,42.0,-1630.0,105.0,-3.0,10.0,2.0,2.0,3.0
0.0,5.0,-106.0,-49.0,-3.0,132.0,482.0,741.0,60.0,-35.0,-25.0,-1.0,-8.0,3.0
0.0,-8.0,14.0,20.0,0.0,-205.0,1456.0,894.0,29.0,9.0,-1.0,-2.0,20.0,3.0
1.0,7.0,38.0,23.0,2.0,-19.0,3037.0,3494.0,-124.0,8.0,-1.0,13.0,-5.0,3.0
0.0,-7.0,72.0,-1.0,-2.0,459.0,62.0,103.0,156.0,-28.0,31.0,-7.0,6.0,2.0
0.0,10.0,-81.0,-8.0,-1.0,-50.0,956.0,236.0,-204.0,48.0,-42.0,1.0,-28.0,2.0
-1.0,1.0,6.0,9.0,0.0,128.0,-1784.0,-1576.0,35.0,-6.0,35.0,-3.0,17.0,2.0
-1.0,12.0,-41.0,-5.0,2.0,21.0,-1666.0,-1719.0,-120.0,-21.0,-52.0,3.0,-9.0,3.0
0.0,-5.0,-10.0,7.0,2.0,-118.0,1417.0,3027.0,96.0,103.0,-11.0,2.0,1.0,3.0
0.0,2.0,-29.0,15.0,2.0,139.0,-1655.0,-1539.0,-101.0,14.0,8.0,-3.0,16.0,3.0
1.0,0.0,88.0,-5.0,-4.0,-45.0,1677.0,-275.0,-21.0,-7.0,1.0,1.0,-24.0,3.0
-1.0,-10.0,-74.0,-13.0,1.0,-85.0,-253.0,-858.0,1.0,-84.0,0.0,8.0,2.0,2.0
0.0,8.0,-41.0,-2.0,0.0,-183.0,-804.0,-988.0,4.0,7.0,-2.0,-5.0,1.0,3.0
0.0,6.0,74.0,-1.0,1.0,140.0,1348.0,1140.0,-119.0,-11.0,9.0,-4.0,11.0,3.0
0.0,-7.0,-83.0,-8.0,-2.0,392.0,-6.0,115.0,-62.0,-1.0,-2.0,2.0,20.0,3.0
0.0,9.0,31.0,11.0,0.0,151.0,-1652.0,-1698.0,-98.0,17.0,-33.0,2.0,-30.0,3.0
-1.0,7.0,-52.0,-22.0,-2.0,-43.0,-440.0,-700.0,27.0,-19.0,6.0,-5.0,16.0,3.0
1.0,0.0,32.0,22.0,1.0,-97.0,-852.0,-659.0,69.0,-26.0,-8.0,-2.0,18.0,3.0
-1.0,3.0,-8.0,-6.0,-2.0,102.0,1170.0,1517.0,112.0,-30.0,33.0,3.0,-2.0,2.0
1.0,-5.0,-70.0,-14.0,1.0,165.0,-3236.0,-3513.0,-268.0,7.0,-75.0,-1.0,-5.0,3.0
-1.0,3.0,15.0,-11.0,2.0,125.0,292.0,344.0,91.0,-10.0,12.0,-1.0,8.0,2.0
0.0,18.0,-36.0,9.0,-2.0,163.0,-2038.0,-2261.0,139.0,-31.0,33.0,-2.0,-5.0,3.0
-1.0,-14.0,-67.0,-42.0,-1.0,1.0,-410.0,-953.0,-170.0,8.0,-46.0,-1.0,-4.0,3.0
-1.0,7.0,35.0,11.0,0.0,20.0,552.0,2479.0,198.0,-25.0,57.0,-6.0,1.0,2.0
1.0,-16.0,-11.0,-18.0,-2.0,-329.0,257.0,1897.0,11.0,114.0,-17.0,-1.0,7.0,3.0
1.0,-4.0,137.0,49.0,-1.0,436.0,-249.0,-721.0,-93.0,-48.0,20.0,2.0,0.0,2.0
-1.0,5.0,-24.0,-35.0,-3.0,-128.0,1317.0,-417.0,42.0,-11.0,15.0,7.0,-6.0,1.0
1.0,-5.0,44.0,39.0,2.0,-84.0,2773.0,2323.0,-108.0,53.0,23.0,-1.0,-7.0,2.0
-1.0,5.0,-20.0,11.0,1.0,-295.0,-2917.0,-2606.0,38.0,-63.0,-17.0,2.0,11.0,1.0
0.0,5.0,-93.0,-49.0,-2.0,93.0,1286.0,1086.0,-35.0,-60.0,-32.0,-6.0,13.0,2.0
0.0,2.0,-61.0,-21.0,-2.0,236.0,1389.0,1254.0,-107.0,28.0,-6.0,1.0,13.0,2.0
1.0,-18.0,132.0,81.0,1.0,197.0,-673.0,-481.0,-4.0,-5.0,30.0,-1.0,-11.0,2.0
0.0,-9.0,10.0,5.0,0.0,108.0,1501.0,1136.0,23.0,-19.0,19.0,2.0,-10.0,1.0
0.0,10.0,-46.0,-41.0,5.0,-215.0,1510.0,1262.0,64.0,38.0,-27.0,-1.0,-10.0,1.0
0.0,18.0,-24.0,3.0,0.0,-339.0,-481.0,-816.0,-18.0,-7.0,0.0,1.0,13.0,3.0
0.0,-4.0,18.0,-11.0,1.0,-190.0,1605.0,1580.0,27.0,5.0,19.0,2.0,-22.0,3.0
1.0,-19.0,-53.0,-17.0,0.0,-510.0,439.0,-19.0,-24.0,-32.0,25.0,4.0,-10.0,3.0
0.0,5.0,-38.0,3.0,2.0,120.0,-324.0,-714.0,-5.0,-39.0,-10.0,-3.0,18.0,2.0
-1.0,2.0,-19.0,-24.0,-4.0,46.0,337.0,1375.0,56.0,11.0,-15.0,1.0,0.0,2.0
0.0,-8.0,-75.0,-14.0,0.0,790.0,-259.0,-1046.0,-122.0,15.0,-16.0,-5.0,0.0,3.0
0.0,-3.0,-24.0,-25.0,-1.0,-71.0,-2183.0,-1998.0,135.0,-27.0,17.0,0.0,1.0,3.0
1.0,3.0,11.0,16.0,3.0,-8.0,-437.0,-780.0,-81.0,8.0,-29.0,3.0,12.0,3.0
-1.0,5.0,-21.0,-9.0,-1.0,46.0,1393.0,1510.0,18.0,-3.0,17.0,-4.0,-6.0,2.0
